# COLDARRI   COLDARRX   COLDARRY   COLDARRZ
#
       649       2.00        230    20.5987
       650       3.60         25     21.023
       652       4.80        130    84.8699
       655       4.40        265    70.5875
       656       3.40        130    10.6263
       659       3.40        100    5.29683
       661       2.70        185     6.6511
       665       5.30        290    90.2351
       667       2.20        130    16.4429
       668       4.30         25    40.1823
       669       3.10         30    5.75235
       670       4.70        275    69.1054
       672       3.30         25    89.7606
       673       2.90        160    55.2756
       674       3.70         95    76.1845
       675       5.80        270    102.635
       678       3.70        125    21.3022
       679       3.20        225     5.7357
       680       3.20        190    7.54527
       683       5.40        225    91.2548
       685       3.70        195    29.0111
       688       3.40        145    8.21784
       690       5.40        255    91.2339
       691       4.80         70     76.757
       693       4.30         65     62.284
       697       3.90        250    51.0586
       700       2.40        130    21.7449
       701       5.40        240     90.648
       702       5.60        275    93.9738
       707       3.80         90    18.5219
       712       3.30        140    66.3105
       714       2.10        300    13.8241
       715       2.30        225      51.97
       720       3.90        170     48.406
       724       2.70        240    66.4865
       728       4.30        205    90.3436
       731       4.50         55    68.5312
       734       3.60         65    7.55706
       735       4.80         70    78.2993
       736       2.00         75    30.5399
       737       3.80        220    45.6108
       738       2.20         30    30.5019
       739       2.00         70      16.83
       740       3.80         30      10.56
       742       2.30         40    54.3033
       744       3.10        105    6.44767
       746       2.20         30    61.3469
       748       3.50         40    10.9918
       749       4.00         60    39.2488
       755       4.10         25    30.3309
       758       3.00         35    25.4512
       761       4.50         50    64.6649
       764       5.40        220    90.9126
       765       2.10         85    33.1848
       766       2.40        255    6.69122
       768       4.60         70    76.9412
       769       3.50        165    89.6756
       770       2.60        220    57.6991
       771       3.60         55    8.38447
       772       4.00        185    112.629
       773       3.30        165    6.43903
       774       4.10        100    51.9335
       775       3.10        125    63.6323
       776       3.90        230    58.2786
       777       3.40        280    14.5655
       781       2.50        110    20.3334
       784       4.60        290    85.3418
       786       3.10        265    5.27754
       787       2.10         40      55.53
       788       4.60         70    71.5397
       789       4.30        160    79.0989
       790       2.50        295    5.18576
       795       3.00         70    12.1487
       798       5.20        285    89.5515
       800       2.50         30    56.9573
       801       4.20        150    70.6996
       805       2.50         95    31.2723
       813       2.00         25    28.3568
       814       3.60         75     79.719
       817       2.80         45    23.3482
       818       2.00         70    36.6475
       822       3.30         25    22.1002
       823       4.20        150    66.8368
       827       4.90        300    87.4203
       828       5.30        205    86.5358
       829       3.00        195      2.745
       830       2.10        285     33.647
       831       5.20         85    88.4174
       832       2.70        155    58.7176
       833       2.60         50     25.159
       834       3.10         85    9.01319
       836       5.30        150    89.3164
       837       4.90        295    89.5392
       840       3.30        220      82.79
       844       2.20        275    12.7217
       845       3.10        105    3.98547
       847       5.50        160    96.7132
       848       3.70        245    32.7626
       850       2.00        290    91.4758
       852       3.00        120    5.41366
       854       3.10        105    65.5507
       855       2.00        190    22.1703
       856       4.20        245     71.184
       858       4.40        130    77.4068
       859       3.00        130    23.8578
       860       4.80         30    68.1607
       861       4.50        185    83.1098
       863       4.40         75    78.1934
       864       5.00        120    85.6264
       865       2.90        250    2.55627
       866       4.20         25    34.3934
       867       5.40         40    87.0327
       868       3.50         95    6.94043
       869       3.20        185    61.0705
       872       5.10         95     84.928
       873       2.90        100    9.71779
       876       5.60        150    102.861
       878       2.90        165    6.53606
       881       3.60        125    12.2455
       884       5.30        230    90.1258
       885       2.30        105    30.0594
       886       4.70        285    88.6397
       887       2.30        220     6.1859
       888       3.30        300    13.1225
       889       4.80         65    69.3365
       891       3.20        300    8.78985
       892       2.30         85     35.343
       893       4.60        285    85.9164
       895       4.30        200      79.73
       900       2.90        175    46.6155
       901       2.00        155    120.766
       903       2.30        180    9.01631
       906       3.30         95    96.2108
       907       3.50         90    64.4922
       908       3.70        170    29.0011
       912       4.00         80    57.3654
       913       5.30        250    91.2054
       914       4.00        160    56.5958
       915       4.30        100    36.9652
       918       3.50        195    78.2863
       919       3.40        195    12.8552
       920       2.20        100    33.8602
       921       4.80         55    72.6745
       923       2.80        265     49.507
       925       2.40        160    60.4667
       926       3.50        280    96.1682
       930       2.90        245    6.85462
       931       5.00        250    89.1652
       932       5.40        295    87.1683
       933       2.90         70    103.536
       935       3.50        220    18.6211
       937       2.00        230    135.784
       941       3.60         65     7.5448
       942       4.20        200    67.9906
       946       3.90        115    38.6772
       947       4.20        180    132.389
       948       2.60         80    8.11065
       950       5.30         70    98.5857
       951       4.40         65    72.8973
       952       3.70        300    38.2424
       953       5.30         60    89.9397
       954       2.90        100    91.2035
       956       5.40         45    88.2057
       957       2.30        265    9.17279
       960       3.70         40     72.566
       962       4.50        240    86.0717
       964       4.30         65    62.9897
       967       3.70        205    90.0495
       968       3.30        135    5.08498
       969       3.40        145    52.5717
       970       3.50        190    61.1172
       971       4.00         50    49.7646
       972       5.20         45    87.5189
       973       3.70        210    33.8211
       976       3.40        285    41.6883
       977       4.30         60    60.1079
       979       2.50         70    32.4896
       980       2.00         40    50.6757
       982       2.10         70    43.7561
       983       4.40        135    78.6157
       984       4.20         30    24.1348
       987       5.10        170    86.0056
       988       2.70         45    50.7979
       990       5.10         80    85.2022
       991       4.60         60    69.5398
       993       3.30        240    9.64349
       994       4.20         25    26.3465
       995       3.40         50    50.7518
       999       2.10        160    187.357
      1002       4.50        190    80.3685
      1003       2.00         40    30.8935
      1004       3.50        140    75.2549
      1005       4.70        155    85.2128
      1006       3.70        245    42.6076
      1007       4.20         60    50.8545
      1009       2.20        295    10.9061
      1010       3.50        115    8.00441
      1011       3.00         70     12.125
      1016       2.50        100    23.9091
      1017       4.10         60     34.129
      1020       2.80         55    35.9156
      1021       5.30        285    91.2458
      1022       2.10        250    103.154
      1026       3.40        215    12.1491
      1027       4.80        160    86.5893
      1030       2.50         45    73.9653
      1031       2.30        245    12.1176
      1032       4.70         75    70.2031
      1033       3.50        160    13.2878
      1035       3.20         25    26.4874
      1038       2.20         80    101.889
      1039       2.40         25    40.0897
      1043       4.30        100    70.1498
      1044       3.80        285    48.0983
      1046       3.30        235    9.33354
      1047       2.10         40    58.0339
      1048       5.80         80    107.657
      1052       2.60        115    17.8965
      1056       6.00        105    112.314
      1057       5.10        190    86.3045
      1058       2.40        255    51.3468
      1061       3.20         25    3.96769
      1064       3.50        170     91.613
      1066       2.60        260    5.28967
      1067       4.00        125    50.8015
      1069       3.60        245    28.7265
      1070       3.30         70    9.21285
      1071       2.30        225    14.1206
      1074       2.90        100     59.855
      1076       2.40        260    31.3283
      1077       2.50         35    52.5117
      1078       4.10         35    20.6437
      1079       2.70         65    60.9011
      1081       2.10        280    40.0877
      1083       4.70        255    80.0408
      1084       5.10        255     88.768
      1085       5.30        180    87.6137
      1086       4.30         65      69.95
      1087       5.40        230    91.1429
      1088       3.30         40    69.2797
      1089       2.80        100    13.0593
      1090       3.40         70    6.07491
      1091       4.70        180    85.4909
      1093       3.50        265    24.4019
      1095       5.30         40    88.6316
      1097       2.20        165    13.8642
      1098       5.00        215    84.5518
      1100       5.70        290    92.0174
      1107       4.60        145    79.7648
      1108       3.20         55    97.9652
      1112       4.10         75    45.6616
      1113       5.00        185    86.1652
      1116       3.00         45    44.3416
      1117       4.40         25     45.286
      1120       3.60        130    88.8691
      1121       2.50         55    33.2931
      1122       3.80        125    28.6973
      1123       4.40        295     77.335
      1126       3.30        210    8.28037
      1128       3.70         35    49.9912
      1130       5.30        225    90.2613
      1131       2.00         95    40.1136
      1132       3.50        285    53.8816
      1133       3.50        180    14.9304
      1134       5.30        250    89.6796
      1135       5.30        220     87.147
      1136       2.90        245    2.37563
      1138       2.50        265     3.6031
      1141       5.50        260    92.5827
      1144       2.20         25    59.4149
      1147       3.30        295    13.7548
      1150       4.20        235    80.0225
      1151       3.90         90    72.6012
      1152       3.40        275    67.5796
      1154       3.10        205    4.00118
