# WARMARRI   WARMARRX   WARMARRY   WARMARRZ
#
      9935       5.60        265    3.97299
     12458       5.50         55    3.18236
      5293       3.40        160    100.509
       937       3.20        140    135.784
     13240       4.70        210    33.8167
       948       5.50        265    8.11065
       954       3.50        190    91.2035
      3998       5.50        290    6.12053
       960       3.80        110     72.566
     13636       4.90        255     41.911
      8305       4.50         95    18.9403
      6220       4.70        120     21.492
       971       4.60        220    49.7646
      8791       5.70         95    4.03182
      2415       6.30         75    19.5368
      8277       5.40         80    2.44091
      9389       6.30         85    41.7141
      1664       4.00        165    49.2115
      2889       5.20        155    6.00944
     13839       3.50         35    171.071
      1003       5.50        230    30.8935
      4753       4.00        100    48.1708
     13922       5.50        125    2.46387
      1009       6.10        190    10.9061
      4357       6.10        120    13.2761
      3126       5.60        190    3.08345
     13964       3.40        155    102.175
     14997       3.60        170    69.9937
      1031       6.40        250    12.1176
     10553       5.70         25    10.2255
      1379       4.80         25    7.80489
      7923       5.90         75    3.14788
      1038       3.20        270    101.889
      4326       5.20         90     3.9511
     13235       5.50         90     2.2579
     10029       6.20         60    7.51112
      5924       6.10         80    19.4327
      1452       5.90        260    6.14832
      9457       6.10        300    2.53225
     13454       6.40         90    4.38424
      6665       4.50        245     43.588
      1061       5.10        145    3.96769
     14235       3.60        275    67.2262
      7144       5.40        200    5.13774
      7997       6.00        135    3.21302
     10254       5.30         25    5.10689
      1071       6.30         50    14.1206
      8954       4.10        235    44.0089
      6879       5.00        280    27.6893
      1079       3.80        300    60.9011
      8380       4.80        295    34.1845
      5953       5.90         50    29.0744
     10487       5.40         55    38.6838
      4050       5.70        300    13.8971
      8317       3.80        135    69.1974
      8433       5.50         70    5.94734
     11771       3.30        290    93.7174
     14042       4.00         45    39.2224
      4566       5.90         65    3.23744
     12980       3.70         45    81.1483
      1154       5.80        175    4.00118
      8465       5.90        145    8.01355
      1138       5.50        195     3.6031
      2335       5.80        230    15.0308
      1144       3.90        185    59.4149
     10078       6.10        225    3.18169
     11865       5.70        240    4.22445
     10308       4.70        140    25.0474
      1152       4.80        160    67.5796
     12460       4.60        300    59.2288
      5929       5.60        220    7.36415
      9825       5.50         25    9.73257
      3336       6.00         45    6.63011
     12820       4.30         75    26.8074
      1721       6.40         95    2.85964
      6961       5.80        280    4.30176
      9722       5.90        245     16.179
      1178       3.30        160    113.613
      6775       4.00         25    43.9118
      5619       3.90         55    53.0546
     13020       5.80         70    4.03157
      1188       3.60        295    73.3449
      6657       6.20        270    15.4311
      7537       4.90        160    21.6541
     13277       5.50        170    3.02169
      4556       5.30        260     11.148
      1210       4.00        135    44.7517
      1401       6.30        145    4.66457
      7023       5.80         45    3.68306
      1240       5.40        275    19.2117
      7473       4.30        120    40.1127
     10217       4.10         55    27.5645
      2925       4.70        175     31.495
     14066       4.00         35    46.7287
     14361       5.00         35    4.54681
      8314       6.20        220    5.10953
      1244       4.80        150     24.468
     14549       3.80        295     54.197
     13738       4.20        150    43.5985
     12800       3.80        205    61.3716
      1262       4.40         25     25.909
      3021       6.40        195    34.5161
      1267       5.70        250    16.8935
      1271       5.20        230     10.023
      2275       5.80        300    11.6803
      2909       6.30        165    34.3846
     13703       4.20         50    35.2044
      3284       5.60        200    6.34409
      7947       4.90        300    33.8536
      1302       4.20        135     45.258
      1303       6.30        200    15.7546
      4954       4.30        170    56.9646
     10180       5.30        230    9.46823
      1311       5.00         95    2.25313
      1314       5.10        125    81.9619
      6460       4.50        150    35.0709
      1318       5.90        220    7.57132
      5935       4.90         65    1.37395
     12031       6.00         50    5.33655
      1321       5.90        210    24.1602
     10599       5.00        290    26.0806
     10746       6.40        165    88.1485
     11280       3.40        235    94.2127
      2489       5.00        185     15.383
      1333       3.90        215    52.6138
     11021       5.40        250    82.7167
     14467       4.90        110    4.89882
     12339       6.50        250    3.27529
      1341       5.40         40     5.7111
      1343       3.70         95    71.8414
      1344       4.00        275    52.9074
     10087       6.20        235    2.78821
     12810       5.20         70    5.46412
      1348       3.80         30    69.6984
      1353       5.10        195    30.2364
      1366       6.30        255    21.8034
      9219       3.80        190    54.0246
      5287       4.80        145    22.1268
      8052       5.40        145    3.05897
      5898       4.80        225    33.6686
      1392       5.70        160     17.366
      1393       3.60        205    74.5017
      2705       4.50         80     20.852
      2501       4.40         60    23.5819
      5851       4.70        200    31.7104
      8577       5.50        280    5.98647
      8412       6.50        200    4.48447
      1896       3.50        260    75.4147
     13161       6.40        300    5.50368
      2818       5.50        145    3.04397
     14099       5.30        120    2.37946
     13354       6.20        195    6.15225
      1427       6.40         40    18.9018
      2810       6.10        110    82.9978
      8749       5.20        115    5.04043
      8373       4.50         75    19.1423
     11575       6.20        125    7.92842
     10818       3.60        285      66.84
      7118       4.10        120    41.3899
      9720       6.10        130    2.34877
      1454       2.90        110     188.01
     13980       5.10        120    6.52768
      5801       4.00        280    50.6318
      1461       5.90        100    10.3737
     11275       5.40        160    5.76402
      4901       6.00        105    17.1882
      1589       6.20        255    7.33586
      3128       6.40        255     4.6849
      1473       6.10         45     11.203
      4572       3.60        110    88.6142
     12262       5.00        175    15.6545
      3407       5.20         40    5.30339
      8446       3.60        235    69.7374
      7955       5.90        115    5.06427
      2637       4.90        265    30.0594
      1502       4.40        170     46.812
     13552       4.50        220    41.5099
      8285       6.30        155    2.78576
     14250       3.70         70    86.9607
      5038       6.20        185    38.2363
      1525       5.60        300    4.75613
     12065       5.40         60    3.39401
     14725       3.40        190    94.4676
      3104       5.50        220    6.02532
      2816       4.80        260    37.2842
      1541       5.50         50     16.433
      6416       5.40        110    4.61268
     14936       4.70        220    31.2875
     14091       5.20        265    20.9363
     12002       3.30        265    89.3428
      1558       3.80         70    64.2363
     10190       6.40         60    9.87019
      4618       3.50        245    75.3733
      7211       6.20         30    18.4147
      5712       5.20         50    31.7417
      6580       4.50        100    25.4347
      3692       6.10        240    8.31641
      1582       6.00        150    3.31993
      3212       5.40         90    3.64224
      2841       5.50         30    9.63496
      8419       5.90        255    23.0271
      3292       4.80        200     30.984
      5785       4.90         50    12.5555
      1601       3.40        170     100.43
     14473       5.20         85    5.22748
      1604       5.30        250    8.31142
     12249       5.80        135    5.30197
     10124       4.80        285    34.7316
      1610       5.80        110    50.2723
     13510       4.60         30    6.39504
      1708       3.40        275    81.6363
      1614       5.20        300    17.7075
      2236       3.70        290    79.2335
     10781       4.90        235    28.4631
     10822       6.10         75    2.52378
      1636       5.40        185    2.85183
      1637       6.20        200    5.22656
      1639       4.90        135    13.9566
      1641       4.30        300    47.3078
      3535       5.10         45    6.52856
     10557       6.40        270    7.09615
      4906       4.50        225    42.8769
      1658       5.50        140    4.59022
     12279       4.10         65    31.7433
      3261       3.60        190      72.62
      1666       3.40        230    88.9993
      1668       5.00        200    24.3215
      1671       4.40         55    15.1618
      2930       5.40         35    15.0413
     10658       4.30         45    13.6551
     10539       4.60        275    41.2522
      9711       3.60         45    89.8343
      8077       4.10         90    38.4471
      8581       5.30        245    15.7693
      1695       3.90        135    64.8485
      9208       5.10         30     7.3673
     11720       6.10         60     15.129
     13457       5.10         80    3.02668
     12513       3.30         40    208.725
      6062       4.20         40    20.0403
     11246       3.70        120     67.447
      1724       5.10        185    9.67732
     11862       4.50        275    43.0831
      1738       3.70        295    85.2859
      1739       6.20         80    4.48526
     14581       4.10         50    28.1084
      8595       4.00        185     53.475
      1748       6.20        260     19.291
      1749       4.60         65    10.7774
      5645       5.20         55    8.45508
     12296       6.10        280    3.87077
     10670       5.30         35    6.90141
      1763       5.50        175    6.66245
      3961       5.00         85    5.89473
      1778       6.20         35    25.6741
      5016       4.10        100    43.4656
      1785       4.20        225    65.7538
      1789       4.90        285    38.2262
      6105       4.10        275    50.0173
      6299       5.50         60    9.95286
      1799       5.40        225    2.25768
      1803       5.50        185     5.7983
      1807       5.20        255    13.4283
      4993       3.90        195    65.7399
     14809       5.00         55    2.04143
      1828       5.80         35      6.871
      1835       3.60        115    82.7687
      1840       3.90        210    53.2071
     11922       5.90        295    3.26432
      1855       5.10        285    30.6026
      5990       4.80        175    44.6425
      6146       4.20        300    50.6107
     13344       3.30        240    96.7565
      1866       5.90         35    13.7767
      8928       5.40         30    31.5989
      5972       5.00         50    9.99977
     13759       3.70        210     62.346
     14275       6.40        150    30.1357
      5593       5.70         45    3.46503
      1882       6.00        210    12.9546
     13039       5.70        110    10.9333
      1892       4.40        105    37.4668
      4840       4.20        145    33.0766
      7851       5.60         25    15.3895
      7797       4.10        205    54.3428
     14380       4.40        130    27.1507
      9909       4.60         25    12.7473
      1906       3.20         70    183.908
      1911       5.40        130    2.76995
      1912       4.40         95    29.3359
      4603       5.10        295    13.2931
     10744       3.90        200    60.3043
      1922       4.00        125    52.8703
      1932       4.10         70    34.0637
     13787       5.80        160    14.4093
      3446       5.90        300    8.53095
      6876       5.90        195    50.2424
      8668       5.40        175    9.82589
     13915       6.00        175    5.90897
      1948       4.30        215    44.4513
      1949       3.50        195    90.3126
      7686       5.90        250    84.3954
      8660       4.10         40    27.3536
      1968       3.50        140    92.3738
     13857       4.20         85    34.3348
      1973       5.60         55    2.93438
      1979       4.00        255     55.741
     12483       4.30         25    27.8113
      8969       5.70         55     15.054
      1990       3.90        250    55.4197
      2049       4.10         80    44.4011
      1995       3.50         40    98.2239
      1998       5.00        120    15.0296
      4012       5.60        150    35.6113
      2013       4.40        285    48.5843
      2021       6.40        110    23.7524
      2022       3.90        160    55.3455
     11717       4.00        285    60.9921
      2027       4.60        290    45.2599
     12427       4.80        180    25.0699
      8644       6.20         65     14.147
      6523       5.00        205    16.7541
      2073       6.30        195    9.69769
     10712       4.30        230    48.0403
     13587       4.10        260    62.5397
     11977       4.90         95     7.9506
      2047       3.70         85     77.862
      2048       4.40        175    39.8997
     13091       6.40        140    4.22856
      2056       3.90        220    58.4409
      2170       5.60         65    13.0801
     11701       5.20         60    3.32362
      5081       4.60        145    30.1648
      8046       5.70         80    2.96458
      2527       4.00         50    36.9546
      2088       6.00        250     12.415
     14869       5.30        195    6.33064
      7402       3.50        100    105.287
      6505       6.10        125    7.72056
      2098       4.00         55    49.0966
      2184       5.30         40    8.19424
     13213       3.50        230    83.4096
     13861       4.40        110     40.041
      8387       5.20         25    3.92237
     13165       6.20        205    5.26615
      7451       3.60        130     84.267
     10022       4.80        190    22.4297
      2138       3.50         55    148.719
      2144       5.30        110    43.9705
      2146       4.70        115     12.984
      7098       5.00        255    27.8597
     12831       3.80        115    77.2984
      3228       3.80        200    54.3623
      5237       3.60         50    132.615
      2672       6.30        160    42.0561
      2173       5.00        260    26.5623
      5374       3.70         60    82.3487
      8497       6.30        265     13.122
      2189       4.90         60     6.2305
      9581       5.60        120    2.14792
      2658       5.80         50    3.29741
      2197       6.30        240    40.3723
      6120       4.30        265    47.3116
      2206       5.50         95     11.917
      2210       3.70        155    66.2091
      2221       6.20        145    5.06163
      2223       6.10         25    75.4687
      2232       4.80        195    27.0345
      2235       2.70        150    190.865
     13202       5.00         65    1.86891
      2255       6.10        100     4.0547
     12378       4.30         60     20.953
     13302       6.20        115    16.3565
      2260       4.60        110    26.7706
      2265       3.70        220       64.3
      9190       3.90        140    54.1835
      4242       6.30         30    3.93851
      2278       5.90         60    3.70957
     12700       5.90         80    5.30199
      2289       3.80        170    54.2567
     10529       5.20        105    5.74181
      3892       5.90        235    7.53038
     10653       5.10        255    26.0734
      6022       5.00        215    20.6567
     11168       5.10         60    3.08698
      2306       3.60        195    88.3587
      2308       3.80        260    59.3294
      2312       5.80        240    79.2069
      3818       6.40         65    3.74995
      7242       6.00         35    6.23627
      2697       4.60        225    40.8514
     11083       4.30        195    50.8903
      5164       4.00        160    60.8923
      9276       5.60         85    2.15068
      2339       3.20        300    98.7027
      2341       5.30        215    78.2391
      2353       4.00         85    42.7749
     13174       4.70        270    40.7251
      8602       3.90         85    50.9253
     13416       5.60        170    5.20726
      4676       5.20        290    104.962
      2387       4.40        205    44.3565
      2390       5.00         60     1.7709
      4983       3.60         85    96.8084
      2395       3.20        195    116.857
      5907       5.00         75    20.1373
      8127       4.60         70    17.0591
      5525       3.80        240    55.8484
      8517       5.30        225    8.85148
      2426       4.80        280     54.696
     10525       6.30        260    10.1966
      2432       3.80        100    73.7671
      2449       5.70        150    23.2603
      2453       5.50         85    3.23213
     11968       6.20        240    6.04266
     11998       6.00         65    2.49048
     14901       6.10        270     5.9498
     11084       6.10        155    33.2957
      8625       4.40        230    53.1667
      7534       3.90         65    48.5389
      2492       5.10        210    14.8365
      9961       5.70         75    12.5995
     14836       3.80         60    70.6975
      2514       5.80        115     7.1214
      2517       4.90        230     48.183
      2518       5.80        255    3.02996
      2519       4.70        170    37.9766
      8554       4.60        230     37.921
      2758       3.70         65    88.5319
      2534       4.60        210    45.1283
      7954       6.40        125    14.8313
      3592       5.80        105    2.91959
      9524       4.80         65    13.3143
     10017       5.50         40    3.27567
     11026       5.70        260    3.20236
      2558       6.00        115    3.62178
      4787       4.20         65    31.9924
      8698       6.00         85    5.97567
      3169       4.60        240    37.9209
      3344       4.20         25    30.4694
      6060       5.80        270    3.07008
     10810       4.30         55    18.5242
      2583       5.40        290    9.61593
      2586       4.90         70    5.35431
     10548       6.40        245    5.08392
     12654       6.40        200    3.93337
      2591       4.00         60     41.375
      8278       5.30        190    3.03001
      9051       4.70         50    7.33695
      2597       4.80        105    15.1045
      2599       5.60         35    10.7324
      4583       5.90        200     26.015
      7905       4.10        280    49.2474
      4417       5.80        155    3.66074
      5607       5.50        135    3.11989
      2616       5.00        240    28.1958
      2617       6.40        220    26.5705
      7432       6.10        175    34.3092
      2623       3.60        180    83.7276
      2624       5.60        100    2.45752
      5939       6.10        265    3.82891
      8130       4.70         70    15.3978
     10080       5.70         50    17.2302
      2645       4.90        275    30.7551
      4633       5.20        100    2.17058
     13363       4.30        140    38.3868
      5634       5.50        275     20.181
      2665       3.20         55    194.262
      2670       4.40        195    42.3863
      2681       5.90        120     19.822
      2682       5.60        255    4.16219
      8724       5.60        240    3.98665
      2686       4.50        165    36.7756
      2692       3.50        225    79.1755
      6582       4.40        190    41.9835
      9951       5.00         70    8.30881
      2709       5.70        295      9.393
      2712       3.70        260     85.668
     13645       6.00        275    8.69771
      2721       4.50         40    4.30936
      2725       5.10        175    8.96978
      2726       4.10         35    31.5899
      7033       5.70        195     16.049
     13304       5.20         65    2.13735
     13566       3.30        145    118.468
      2760       4.20         35    19.2091
      8682       5.20        110    24.1508
      2762       4.50        250    33.6799
     11041       5.80        185    5.10223
     13437       5.50        165    3.11836
      2771       6.10        160    17.6384
      2774       3.60         40    87.1652
      2777       4.90         45    6.28884
      2783       5.00        155    13.3966
      2786       6.20        210    10.7641
     10977       3.60        255    65.8607
     10016       5.10         95    9.81546
     12049       6.00        100    3.91589
      4708       5.50         65    12.5865
      3011       4.30         70    28.0308
      8480       6.40         85    8.89627
      2802       3.80        145      77.84
     13258       4.30        145    39.0328
      3506       5.60        175     8.5877
      2814       4.50        235    46.4559
      9043       3.50        115    98.6728
     12137       5.60        195     86.066
      5432       4.10         75    34.3654
      5495       6.20        245    13.0581
     11178       4.90        140    17.2826
      2847       4.70        190    31.2104
      6506       4.50         35    6.00538
      7198       6.00        190    30.8665
      6169       6.40        155    13.6621
      8002       5.70        280    5.06955
      4834       4.90         80    2.31241
      8017       4.80        110    14.9776
      2874       6.10        210    10.8762
      2879       6.40        120    2.75597
     14077       4.50        255    43.0144
      9490       6.40        175    5.57713
      3621       6.30        300    24.1493
      2901       3.70        190    64.8827
      7959       3.90         45    59.6282
      5708       6.40        115    7.12254
      2931       4.40        235    43.9842
      2932       5.00        140     9.5987
     10208       3.90        150    59.1506
      7670       5.10        280    42.2748
      2960       3.50        240    94.1777
      3041       3.60        200       79.7
      3057       3.30        225     96.222
      5280       4.70        205    33.1035
      2990       5.20        140    5.44922
      2996       4.10        290    55.7484
     12619       5.30        295    7.93316
      4460       6.30         70    5.95978
      3010       3.70        245     70.829
      3014       6.30         60    29.8683
     12352       6.40         35    26.5262
     14048       5.00        220    11.9527
     11766       6.40        295    17.6327
      7880       4.40        210    35.0986
      8199       4.40         30    14.3028
      3048       6.00        255    2.44149
      3051       5.80        205    3.99673
      3054       5.50        200     3.5233
      3056       3.40        165    99.5255
      8728       6.30        275    13.0877
      7362       6.00        110    5.86714
      7287       4.20        170    46.6879
      3077       4.70         40    3.15375
      3078       6.00        125    35.5759
     11397       6.10        115    9.46064
      9497       4.20        215    47.4839
      3084       4.20        195    46.1634
      3088       3.60        155    86.3051
      3091       4.90        100     74.037
      8654       5.10        245    22.1057
      9024       6.40        100    15.9201
      3107       3.50        205    79.0511
      7668       6.00         25    6.81364
      3643       3.20        265    101.864
      3137       6.20         75     27.031
      3231       4.10         25    35.3856
      3149       6.40         25    6.29444
