# WARMARRI   WARMARRX   WARMARRY   WARMARRZ
#
      1303       6.30        200    15.7546
      1306       6.50        215    79.2139
      1307       4.30        170    89.1512
      1308       5.30        230    82.5848
      1310       6.50        190    79.5773
      1311       5.00         95    2.25313
      1314       5.10        125    81.9619
      1316       4.50        150    38.0865
      1318       5.90        220    7.57132
      1319       4.90         65    9.86101
      1320       6.00         50    28.7344
      1321       5.90        210    24.1602
      1324       3.90        260    71.7255
      1325       6.50        280    6.51138
      1327       5.00        290    76.9396
      1328       6.40        165    88.6363
      1331       3.40        235    96.0484
      1332       5.00        185    18.8335
      1333       3.90        215    52.6138
      1335       5.40        250    89.3077
      1338       4.90        110    11.9683
      1339       6.50        300    90.3146
      1340       6.50        250     17.551
      1341       5.40         40     5.7111
      1343       3.70         95    71.8414
      1344       4.00        275    52.9074
      1345       6.20        235     31.279
      1347       5.20         70    84.9412
      1348       3.80         30    69.6984
      1352       6.50         60    55.5633
      1353       5.10        195    30.2364
      1357       6.50         40    8.67397
      1358       6.00         40    9.93961
      1359       4.00         45    43.5775
      1363       6.50        175    88.2007
      1365       6.50        145     87.048
      1366       6.30        255    21.8034
      1367       6.50        205    86.9508
      1368       5.30        100    28.4874
      1371       3.80        190     68.535
      1372       5.10        100    84.8414
      1373       5.80         60    11.1524
      1377       5.70         85    29.2867
      1378       5.20         30    74.6732
      1379       4.80         25    7.80489
      1380       4.80        145     27.108
      1381       6.50         95    87.5294
      1382       5.40        145    10.3902
      1383       4.80        225    45.7098
      1384       6.50        100     8.9255
      1388       6.50        125     3.5336
      1390       5.80        280    7.53346
      1391       5.80         65    44.2542
      1392       5.70        160     17.366
      1393       3.60        205    74.5017
      1394       4.10         55    39.7779
      1395       6.50         65     78.875
      1396       6.50         80    31.0879
      1398       5.30         45     20.617
      1399       6.50        245    89.6653
      1400       4.50         80    30.9596
      1401       6.30        145    4.66457
      1404       4.40         60    64.7178
      1405       4.70        200    35.0713
      1408       5.50        280    10.2489
      1411       6.50        200    91.0565
      1412       6.50        235    82.0398
      1413       3.50        260    83.4728
      1415       6.40        300    32.5488
      1416       6.50        285    88.0747
      1419       4.40         90    38.9077
      1421       5.50        145    16.4991
      1422       5.30        120     88.361
      1424       6.20        195    10.0817
      1427       6.40         40    18.9018
      1429       6.50         50    79.8251
      1430       6.10        110    91.9748
      1433       5.20        115     86.948
      1436       4.50         75     41.291
      1439       6.20        125    38.0299
      1443       6.50         35    62.0872
      1447       3.60        285      89.97
      1448       5.10         25    13.3149
      1449       4.10        120    42.7223
      1451       6.10        130    14.6449
      1452       5.90        260    6.14832
      1454       2.90        110     188.01
      1456       5.10        120    86.0832
      1458       4.00        280    58.1365
      1460       6.50        260    18.2742
      1461       5.90        100    10.3737
      1464       5.40        160    90.3081
      1466       6.30         50    80.1933
      1468       6.00        105     46.304
      1469       6.50        165     86.787
      1470       6.20        255    87.5952
      1471       6.40        255     41.696
      1473       6.10         45     11.203
      1475       6.50        295    86.5565
      1476       3.60        110    91.3642
      1480       6.50        290    84.5021
      1482       6.50        135    30.9158
      1483       5.00        175    19.3878
      1484       5.10        100    1.71596
      1485       5.20         40    82.5762
      1489       6.50        140    92.0242
      1490       6.50        270    85.3454
      1491       3.60        235    87.3345
      1492       4.10        220    50.7674
      1494       5.90        115    30.4041
