#        i0           chi2        i1             a1        i2             a2        T_{kin}        n_{H_2}        M_{H_2}        T_{kin}        n_{H_2}        M_{H_2}
#
    3601911         78.301     26562              0     12597        24.1988            175        6309.57    1.49355e+08             95        7943.28    1.88027e+08
     430636        79.8745      3173        19.5007      8436        4.71979             40        79432.8    1.88027e+09             70         100000    2.36712e+09
    4030088        22.7153     29716        5714.47     23256        4.18288            195            100    2.36712e+06            155        63095.7    1.49355e+09
    5346962        95.9455     39425         132.74     33478        42.2416            250        316.228    7.48549e+06            215        2511.89    5.94594e+07
    1476139        45.0726     10887        10.4983      1729        23.8658             85        12589.2    2.98003e+08             30    3.16228e+06    7.48549e+10
     612333        34.6874      4503        852.068     34599        3.17501             50        501.187    1.18637e+07            220        50118.7    1.18637e+09
    6595801        88.5385     48640        1.31714     23579         2.5613            300         100000    2.36712e+09            155    3.16228e+06    7.48549e+10
     104001        92.7414       760         71.617     18259              0             25          1e+06    2.36712e+10            125    1.25892e+06    2.98003e+10
    3773652        108.736     27816        3.84747     45372              0            180         630957    1.49355e+10            280    1.58489e+06    3.75163e+10
    4223075         86.359     31141        2.20387     19209        2.90365            200        79432.8    1.88027e+09            130    3.16228e+06    7.48549e+10
    3330123        16.8302     24548        1206.14     36689        2.02701            165        251.189    5.94594e+06            230    3.16228e+06    7.48549e+10
    5197718        108.814     38323        2.80555     36594              0            240         794328    1.88027e+10            230          1e+06    2.36712e+10
    1818103        7.13557     13395        36.8554     38437        1.58033            100        3162.28    7.48549e+07            240    3.16228e+06    7.48549e+10
    2693380         90.028     19855        5.89377     27740              0            135         199526    4.72302e+09            180         251189    5.94594e+09
    6126831        88.8771     45182        1.62364     20957        2.34508            280         158489    3.75163e+09            140    3.16228e+06    7.48549e+10
    2567568        90.3788     18924        6.73143     35568              0            130         100000    2.36712e+09            225         158489    3.75163e+09
    2168693        71.1689     15979        59.5052     43263        2.49638            115        1995.26    4.72302e+07            270        19952.6    4.72302e+08
    2869951        160.575     21166        238.077      5453              0            145           1000    2.36712e+07             55        1258.92    2.98003e+07
     405602        54.9123      2983         50.176     22230        4.51896             40        7943.28    1.88027e+08            150          10000    2.36712e+08
     513267        9.87566      3781        72.1894     12217        5.64622             45        3162.28    7.48549e+07             90    3.16228e+06    7.48549e+10
    4480346        102.114     33041        3.36163     12958              0            210         501187    1.18637e+10             95         630957    1.49355e+10
     433768        87.5432      3192        28.9329     19000              0             40         100000    2.36712e+09            130         251189    5.94594e+09
    3922665         83.812     28918         518.99     37867        25.7014            190        251.189    5.94594e+06            240        3162.28    7.48549e+07
    4106269        78.2106     30286        2.07622      2375        19.4884            195         100000    2.36712e+09             35         199526    4.72302e+09
    6124058        87.1536     45163       0.266999     17214        6.28994            280         125892    2.98003e+09            120         158489    3.75163e+09
     175559          27.74      1292        67.9154      7429        5.33409             30        15848.9    3.75163e+08             65        19952.6    4.72302e+08
    6455669        68.9695     47614        1.46107      4047        19.0827            295        15848.9    3.75163e+08             45        79432.8    1.88027e+09
    1820584        10.8362     13414        28.5315     36632        1.57483            100        3981.07    9.42367e+07            230    1.58489e+06    3.75163e+10
    4737217        116.093     34922        2.96684     48051              0            220    2.51189e+06    5.94594e+10            295    3.16228e+06    7.48549e+10
    1643395        111.397     12103        8.42324     47177              0             90         794328    1.88027e+10            290    3.16228e+06    7.48549e+10
    5795398        113.526     42731           2.46     37506              0            265    1.25892e+06    2.98003e+10            235    1.58489e+06    3.75163e+10
    4945781        90.3318     36461        2.57208     46303       0.607091            230         199526    4.72302e+09            285    3.16228e+06    7.48549e+10
    3416919        109.631     25194        4.20323     21717              0            165         630957    1.49355e+10            145         794328    1.88027e+10
    1495643        81.4381     11020        8.92961     29697       0.817249             85        63095.7    1.49355e+09            190    3.16228e+06    7.48549e+10
    5479716        116.953     40413        115.512     10716              0            255        1258.92    2.98003e+07             85        1584.89    3.75163e+07
       2439        187.865         0              0     46341        5331.61             25            100    2.36712e+06            290        125.892    2.98003e+06
    1015799        80.0203      7486        17.0589     16245              0             65        39810.7    9.42367e+08            115        50118.7    1.18637e+09
     288373        14.4606      2109        57.2187     46303        1.15536             35        7943.28    1.88027e+08            285    3.16228e+06    7.48549e+10
    1541023         29.412     11362         8297.3     10925        11.3454             90            100    2.36712e+06             85        19952.6    4.72302e+08
    2194935        69.6749     16188        4.54366      3477        15.8919            115        25118.9    5.94594e+08             40    3.16228e+06    7.48549e+10
     304417         56.219      2242        43.7273      8531              0             35        39810.7    9.42367e+08             70         316228    7.48549e+09
    3082877        191.553     22724              0     37639        2629.39            155            100    2.36712e+06            240        199.526    4.72302e+06
    1896156        37.6609     13984        7408.57      4180        17.2914            105            100    2.36712e+06             45         398107    9.42367e+09
    4302280         10.911     31730        28.9532      6840        8.21991            205        2511.89    5.94594e+07             60         630957    1.49355e+10
    5006635        4.07927     36917        71.2798     27873        2.26624            235        1258.92    2.98003e+07            180    1.25892e+06    2.98003e+10
    3232226        8.11551     23826        60.9528     36518        1.99354            160        1584.89    3.75163e+07            230         398107    9.42367e+09
     387474        86.3982      2850        50.3232     20406        31.8424             40        1584.89    3.75163e+07            140        3981.07    9.42367e+07
    6227138        116.228     45923              0     17974        7.90654            285        31622.8    7.48549e+08            125        39810.7    9.42367e+08
    1635705         96.852     12046              0     47899        2.41968             90         398107    9.42367e+09            295         501187    1.18637e+10
    1313391        36.8756      9671        2636.17     41933        1.91782             80        199.526    4.72302e+06            260    3.16228e+06    7.48549e+10
    3059689         107.22     22553         4.7202     37563              0            150         501187    1.18637e+10            235    3.16228e+06    7.48549e+10
      80315        89.4705       589        72.0229      8721              0             25         125892    2.98003e+09             70    3.16228e+06    7.48549e+10
    5083042        111.118     37487              0     11286          9.066            235    1.25892e+06    2.98003e+10             85    1.58489e+06    3.75163e+10
    1942281        79.9089     14307        29.1666     48507       0.804068            105        5011.87    1.18637e+08            300        19952.6    4.72302e+08
      18261        52.6741       133        1442.14      4351        18.9861             25        501.187    1.18637e+07             45    3.16228e+06    7.48549e+10
     918568        104.068      6764        14.7907     28728              0             60         251189    5.94594e+09            185          1e+06    2.36712e+10
    2374701        31.4051     17499        4755.13     41895        1.86528            125        125.892    2.98003e+06            260    1.99526e+06    4.72302e+10
    4618767        116.026     34048        3.04298     48925              0            215    2.51189e+06    5.94594e+10            300    3.16228e+06    7.48549e+10
    3095176        57.0888     22819        712.949     26600        7.74897            155        316.228    7.48549e+06            175          10000    2.36712e+08
    5866471        77.8581     43263        2.13972     17461        3.77306            270        19952.6    4.72302e+08            120    3.16228e+06    7.48549e+10
    4511329        77.8053     33269        549.767     14307        29.4501            215        199.526    4.72302e+06            105        5011.87    1.18637e+08
     443807        101.389      3268        27.4206     13965              0             40         251189    5.94594e+09            100    3.16228e+06    7.48549e+10
    1659401        40.2996     12236        8012.34      8683        9.09754             95            100    2.36712e+06             70    1.99526e+06    4.72302e+10
     833338        228.367      6137              0     24510        5286.97             60        125.892    2.98003e+06            165        158.489    3.75163e+06
    5790893        92.6216     42712              0       855        70.5693            265          1e+06    2.36712e+10             25    3.16228e+06    7.48549e+10
    3175601        100.264     23408              0     37411        3.00485            155         398107    9.42367e+09            235         501187    1.18637e+10
     180319        29.8243      1311        74.0464     48925        0.16752             30        19952.6    4.72302e+08            300    3.16228e+06    7.48549e+10
    6007921        87.6819     44308        1.62857     13091        3.79847            275         158489    3.75163e+09             95    3.16228e+06    7.48549e+10
    2369921        258.449     17480        13912.2        19              0            125            100    2.36712e+06             25        125.892    2.98003e+06
     944517        107.728      6954        14.4745     32319              0             60    2.51189e+06    5.94594e+10            205    3.16228e+06    7.48549e+10
    1239929        47.2571      9139        13.6545     16587        2.77285             75        12589.2    2.98003e+08            115    3.16228e+06    7.48549e+10
    1008733        62.5373      7429        13.4171     28823        1.42306             65        19952.6    4.72302e+08            185    3.16228e+06    7.48549e+10
